time,action,target_price,target_volume
2018-09-01 00:00:00,buy,2.5,2.25
2018-09-01 01:00:00,buy,2.5,2.46
2018-09-01 02:00:00,buy,2.5,2.52
2018-09-01 03:00:00,buy,2.5,2.44
2018-09-01 04:00:00,buy,2.5,2.25
2018-09-01 05:00:00,buy,2.5,2.01
2018-09-01 06:00:00,buy,2.5,1.74
2018-09-01 07:00:00,buy,2.5,1.48
2018-09-01 08:00:00,buy,2.5,1.25
2018-09-01 09:00:00,buy,2.5,1.07
2018-09-01 10:00:00,buy,2.5,0.96
2018-09-01 11:00:00,buy,2.5,0.9
2018-09-01 12:00:00,buy,2.5,0.92
2018-09-01 13:00:00,buy,2.5,1.0
2018-09-01 14:00:00,buy,2.5,1.13
2018-09-01 15:00:00,buy,2.5,1.29
2018-09-01 16:00:00,buy,2.5,1.49
2018-09-01 17:00:00,buy,2.5,1.68
2018-09-01 18:00:00,buy,2.5,1.87
2018-09-01 19:00:00,buy,2.5,2.03
2018-09-01 20:00:00,buy,2.5,2.16
2018-09-01 21:00:00,buy,2.5,2.24
2018-09-01 22:00:00,buy,2.5,2.28
2018-09-01 23:00:00,buy,2.5,2.27
